mockup_id,page_id,state_id,page_name,state_name,visual_type,file_path,canonical_dp,pixel_size,density,design_system_version,release_id,status,sha256,approved_by,approved_at,functional_scope_note
M-HOME-004-S03,HOME-004,HOME-004-S03,项目详情,本人待审核项目,PAGE,ui/mockups/approved/V1.2.0/HOME-004/M-HOME-004-S03__OWNER_PENDING__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,45c0443bb67baec0771c70151327e86c91dbb5367df89385ddb672a5fad9fd15,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-HOME-004-S04,HOME-004,HOME-004-S04,项目详情,本人被驳回项目,PAGE,ui/mockups/approved/V1.2.0/HOME-004/M-HOME-004-S04__OWNER_REJECTED__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,0e83e7d2b17805993a0ea5d1fc2a61f173aeecf8e8de71bd2a1608093a765b9f,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-HOME-004-S05,HOME-004,HOME-004-S05,项目详情,本人已下架项目,PAGE,ui/mockups/approved/V1.2.0/HOME-004/M-HOME-004-S05__OWNER_OFFLINE__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,c3c4680d7dfa6cfaf981b70d56dbc550df17a8de08259360765809f962b72a9a,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-001-S01,PUB-001,PUB-001-S01,发布项目,空表单,PAGE,ui/mockups/approved/V1.2.0/PUB-001/M-PUB-001-S01__DEFAULT__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,401236eb6571f81f218b2137d15c3408d9ff439740538c4612b35a69422ebefd,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-001-S02,PUB-001,PUB-001-S02,发布项目,已输入草稿,PAGE,ui/mockups/approved/V1.2.0/PUB-001/M-PUB-001-S02__DRAFT__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,ad3f768f7fbb428f36ad30c5d5feb1347b0a79451bb69fb14843bb87bd37521c,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-001-S03,PUB-001,PUB-001-S03,发布项目,选择图片,PAGE,ui/mockups/approved/V1.2.0/PUB-001/M-PUB-001-S03__IMAGE_PICKING__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,4ebab6b563d6164ad5f24ed379727f0684d24e9947a15afacb23fa6027cc22ef,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-001-S04,PUB-001,PUB-001-S04,发布项目,图片压缩,PAGE,ui/mockups/approved/V1.2.0/PUB-001/M-PUB-001-S04__COMPRESSING__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,30742e93782c24ef8ed3f2fef3cae41d4f61739bbab2d4f61578b1a19d59f1e4,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-001-S05,PUB-001,PUB-001-S05,发布项目,图片上传,PAGE,ui/mockups/approved/V1.2.0/PUB-001/M-PUB-001-S05__UPLOADING__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,c4dbd374e7baeecba93ead5cd40e207a7a6faf98ec23f36fcfc05a4c81151d9a,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-001-S06,PUB-001,PUB-001-S06,发布项目,部分上传失败,PAGE,ui/mockups/approved/V1.2.0/PUB-001/M-PUB-001-S06__UPLOAD_FAILED__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,457e6882179ac29747b917e60a298ea054ce5a28aed6cc4759133c7399e32772,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-001-S07,PUB-001,PUB-001-S07,发布项目,发布校验错误,PAGE,ui/mockups/approved/V1.2.0/PUB-001/M-PUB-001-S07__VALIDATION_ERROR__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,7a15de73f04513ab9dbc862a7bf2936b9fd72e8d4d4b0fcbb6e485928d7e384f,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-001-S08,PUB-001,PUB-001-S08,发布项目,提交中,PAGE,ui/mockups/approved/V1.2.0/PUB-001/M-PUB-001-S08__SUBMITTING__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,fabb25ab3da363481638b8a5348860844803443ccadb85203612d9224fdd708d,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-001-S09,PUB-001,PUB-001-S09,发布项目,提交成功,PAGE,ui/mockups/approved/V1.2.0/PUB-001/M-PUB-001-S09__SUBMIT_SUCCESS__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,f352d9f125d9824280305523622d28a402ce6a21eca21fa5fd74f3715a07dd8e,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-001-S10,PUB-001,PUB-001-S10,发布项目,提交网络失败,PAGE,ui/mockups/approved/V1.2.0/PUB-001/M-PUB-001-S10__NETWORK_ERROR__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,877b2c37b9265ba5dde8ece5564925ca549a65c502eb2de971238f99be78a77f,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-001-S11,PUB-001,PUB-001-S11,发布项目,达到每日上限,PAGE,ui/mockups/approved/V1.2.0/PUB-001/M-PUB-001-S11__DAILY_LIMIT__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,7d9efdd6550c78618e8c5489da81d4e85ce725a2d32d392960f9c4e673b208e4,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-001-S12,PUB-001,PUB-001-S12,发布项目,待审核数量上限,PAGE,ui/mockups/approved/V1.2.0/PUB-001/M-PUB-001-S12__PENDING_LIMIT__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,e3c4bcec943de525e63a84797e359de88def6e0174e3ab4bb711a8ceb104a148,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-001-S13,PUB-001,PUB-001-S13,发布项目,登录过期,PAGE,ui/mockups/approved/V1.2.0/PUB-001/M-PUB-001-S13__SESSION_EXPIRED__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,b966b9a6b4a0ca8cb01a9068a0b14dcb4cf708557b02c4f3f9393934485136e7,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-002-S01,PUB-002,PUB-002-S01,图片排序与封面,图片排序,PAGE,ui/mockups/approved/V1.2.0/PUB-002/M-PUB-002-S01__CONTENT__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,f23e68a76a5be9b16f43cab63a27c5ff9b7bb15f4ae9e0a9ea4f8ff925d07212,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-002-S02,PUB-002,PUB-002-S02,图片排序与封面,拖动排序,PAGE,ui/mockups/approved/V1.2.0/PUB-002/M-PUB-002-S02__DRAGGING__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,4f262b3fb5804313cd536a63d2cb3b5cb86261c243346900872cf19659a32a85,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-002-S03,PUB-002,PUB-002-S03,图片排序与封面,已更换封面,PAGE,ui/mockups/approved/V1.2.0/PUB-002/M-PUB-002-S03__COVER_CHANGED__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,22db750cc0c5ae807b004d6131e16a0f346d71ca3b72f96f39f7b45815b9f1da,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-002-S04,PUB-002,PUB-002-S04,图片排序与封面,排序保存失败,PAGE,ui/mockups/approved/V1.2.0/PUB-002/M-PUB-002-S04__SAVE_FAILED__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,292e68c0037518f477092315f3e627ea27824d15d02ba041f2fa38f70cc99116,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-003-S01,PUB-003,PUB-003-S01,发布提交结果,已提交待审核,PAGE,ui/mockups/approved/V1.2.0/PUB-003/M-PUB-003-S01__PENDING__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,8514e2af37002f80e97dd2c5f182dfee2504414fcc9610f8c856638f1e1ce2d8,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-003-S02,PUB-003,PUB-003-S02,发布提交结果,直接发布成功,PAGE,ui/mockups/approved/V1.2.0/PUB-003/M-PUB-003-S02__PUBLISHED__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,e7d34d96eae2160823237bda49930a741681aeff30bfbb9766737f9845683ede,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-003-S03,PUB-003,PUB-003-S03,发布提交结果,服务端未接受,PAGE,ui/mockups/approved/V1.2.0/PUB-003/M-PUB-003-S03__FAILED__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,2e513aadff1b84da5e7503906c588685ef56d301ef39404f9090aaa3e450638d,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-004-S01,PUB-004,PUB-004-S01,编辑项目,编辑加载,PAGE,ui/mockups/approved/V1.2.0/PUB-004/M-PUB-004-S01__LOADING__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,c6e69bda1ed5609cb983de3f497f5598631242716c33da42ca636a53fe6f7425,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-004-S02,PUB-004,PUB-004-S02,编辑项目,编辑内容,PAGE,ui/mockups/approved/V1.2.0/PUB-004/M-PUB-004-S02__CONTENT__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,94732c49f30942581f07f946312cc3aa480805806be42c5950da8d0ae9ffaca6,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-004-S03,PUB-004,PUB-004-S03,编辑项目,重新审核提示,PAGE,ui/mockups/approved/V1.2.0/PUB-004/M-PUB-004-S03__REVIEW_WARNING__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,9c71c761c24febbad8de6fc8a3340a6901c83e8125f7f3935c96be6b6aca1139,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-004-S04,PUB-004,PUB-004-S04,编辑项目,保存中,PAGE,ui/mockups/approved/V1.2.0/PUB-004/M-PUB-004-S04__SAVING__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,01ded6df88b8efbf8bad91491af2f962fb6e80576b490fcb4448ca5493d84d7a,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-004-S05,PUB-004,PUB-004-S05,编辑项目,保存成功,PAGE,ui/mockups/approved/V1.2.0/PUB-004/M-PUB-004-S05__SUCCESS__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,4d5b13fc91cc5b247d884cc2e836674d3676c9e1595ccbc5dfe2f242a82897b9,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-004-S06,PUB-004,PUB-004-S06,编辑项目,版本冲突,PAGE,ui/mockups/approved/V1.2.0/PUB-004/M-PUB-004-S06__CONFLICT__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,0dcba7eb822901353563f90d1ee1ad962826d9b1d1d0f875ab3cf2b662640e9a,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-004-S07,PUB-004,PUB-004-S07,编辑项目,无权或项目不存在,PAGE,ui/mockups/approved/V1.2.0/PUB-004/M-PUB-004-S07__UNAVAILABLE__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,2a8724f9ca800c0829db9887a8cc394ea1aa89a40638c76fb8697c7910bcd194,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-004-S08,PUB-004,PUB-004-S08,编辑项目,保存失败,PAGE,ui/mockups/approved/V1.2.0/PUB-004/M-PUB-004-S08__NETWORK_ERROR__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,f80f159fe22d14beee32e007a89f34a9216e8aa890c304985131115550dd2e4e,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-OV-001-S01,PUB-OV-001,PUB-OV-001-S01,删除图片确认,确认删除图片,OVERLAY,ui/mockups/approved/V1.2.0/PUB-OV-001/M-PUB-OV-001-S01__DEFAULT__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,7e7cdae3a45df5a5cfadf082f7514e5343632f3f3cf8dc69d4e01b3513caadf9,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-OV-001-S02,PUB-OV-001,PUB-OV-001-S02,删除图片确认,删除中,OVERLAY,ui/mockups/approved/V1.2.0/PUB-OV-001/M-PUB-OV-001-S02__DELETING__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,ece0dcc12a918f047e4da57ed3acb5fabb04a363c006eed10b30b0a9df3b9138,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-OV-001-S03,PUB-OV-001,PUB-OV-001-S03,删除图片确认,删除失败,OVERLAY,ui/mockups/approved/V1.2.0/PUB-OV-001/M-PUB-OV-001-S03__FAILED__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,1ffb7449b42217c5d169fb5f8ffbd29c53750fe2d7708d096cc547fbb066eca9,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-OV-002-S01,PUB-OV-002,PUB-OV-002-S01,未保存退出确认,放弃未保存内容,OVERLAY,ui/mockups/approved/V1.2.0/PUB-OV-002/M-PUB-OV-002-S01__DEFAULT__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,4cb703be06b7f950f373a397b5e25700fcadaad281dee86cf021e712fe21c038,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-OV-003-S01,PUB-OV-003,PUB-OV-003-S01,联系方式类型选择,选择联系方式,OVERLAY,ui/mockups/approved/V1.2.0/PUB-OV-003/M-PUB-OV-003-S01__DEFAULT__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,0666d1a5ec27c4cb63057dbde6164cab93331e1c3f092308fd3e9f3103dc6d47,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-OV-003-S02,PUB-OV-003,PUB-OV-003-S02,联系方式类型选择,已选类型,OVERLAY,ui/mockups/approved/V1.2.0/PUB-OV-003/M-PUB-OV-003-S02__TYPE_SELECTED__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,2e41e882ae8fe1311fd5ec168000e60b524ee3cdbfdf8f7d2159b552c12e7b53,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-PUB-OV-003-S03,PUB-OV-003,PUB-OV-003-S03,联系方式类型选择,无可用类型,OVERLAY,ui/mockups/approved/V1.2.0/PUB-OV-003/M-PUB-OV-003-S03__EMPTY__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,a1df12aadbe6901f34f9c657b08cd3bfd2d7288fe0541996d9e7b4c52fcf9553,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-ME-002-S01,ME-002,ME-002-S01,我的发布,项目列表加载,PAGE,ui/mockups/approved/V1.2.0/ME-002/M-ME-002-S01__LOADING__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,3a09483b163b690d8a9a1b3dd0b7c01623e6ecdfdab7e98b09fc87d8a864b56c,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-ME-002-S02,ME-002,ME-002-S02,我的发布,全部项目,PAGE,ui/mockups/approved/V1.2.0/ME-002/M-ME-002-S02__ALL__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,29fd8ab96ce8e0c4787a10ab070d2a562a66aff2434ac3d45e227aa485e5b775,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
M-ME-002-S03,ME-002,ME-002-S03,我的发布,待审核,PAGE,ui/mockups/approved/V1.2.0/ME-002/M-ME-002-S03__PENDING__1170x2532.png,390x844,1170x2532,3.0,STK-DS-1.0,V1.2.0,APPROVED,ddc39bee1c4770a4a718fe0a35e6ed9721e6e85168a23de6a09f6db45833f8f0,OpenAI contract-constrained deterministic visual QA,2026-08-05T04:49:03.034445+00:00,视觉按图；功能只以 Feature/Interaction/API 合同为准；示例文字不扩展功能
